Title,URL,image URL,image2 URL,Price1,Price2,Price3,desc1,desc2,desc3,Item ID,Type,Brand,Price level,Tag ID,Gender,online Date,offline Date,Stock,Status
Low Heel Flipflop Women's Wedges Flats,http://www.tbdress.com/product/Low-Heel-Flipflop-Womens-Wedges-Flats-11315197.html,http://s.tbdress.com/images/product/11/11315/11315197_1.jpg,http://s.tbdress.com/images/product/11/11315/11315197_1_m.jpg,55.08,28.99,27.09,,,,11315197,Wedges,,,,,00:01.9,2015/4/3 16:00,,2
Rhinestones Thong Women's Wedges Sandals,http://www.tbdress.com/product/Rhinestones-Thong-Womens-Wedges-Sandals-11315195.html,http://s.tbdress.com/images/product/11/11315/11315195_1.jpg,http://s.tbdress.com/images/product/11/11315/11315195_1_m.jpg,75.37,25.99,24.49,,,,11315195,Sandals,,,,,00:01.9,2015/4/3 16:00,,2
Low Heel Pear Decorated Women's Sandals,http://www.tbdress.com/product/Low-Heel-Pear-Decorated-Womens-Sandals-11315191.html,http://s.tbdress.com/images/product/11/11315/11315191_1.jpg,http://s.tbdress.com/images/product/11/11315/11315191_1_m.jpg,69.98,27.99,26.09,,,,11315191,Flat Sandals,,,,,00:01.9,2015/4/3 16:00,,2
Flat Heel Rhinestone Wedges Women's Sandals,http://www.tbdress.com/product/Flat-Heel-Rhinestone-Wedges-Womens-Sandals-11315188.html,http://s.tbdress.com/images/product/11/11315/11315188_1.jpg,http://s.tbdress.com/images/product/11/11315/11315188_1_m.jpg,56.68,26.99,25.39,,,,11315188,Flat Sandals,,,,,00:01.9,2015/4/3 16:00,,2
Stiletto Heel Open Toes Women's Sandals,http://www.tbdress.com/product/Stiletto-Heel-Open-Toes-Womens-Sandals-11315174.html,http://s.tbdress.com/images/product/11/11315/11315174_1.jpg,http://s.tbdress.com/images/product/11/11315/11315174_1_m.jpg,98.57,33.99,31.39,,,,11315174,Sandals,,,,,00:01.9,2015/4/3 16:00,,2
Black Stand Collar Long Sleeve Organza Thin Women's Jacket,http://www.tbdress.com/product/Black-Stand-Collar-Long-Sleeve-Organza-Thin-Womens-Jacket-11315099.html,http://s.tbdress.com/images/product/11/11315/11315099_1.jpg,http://s.tbdress.com/images/product/11/11315/11315099_1_m.jpg,63.77,21.99,20.29,,,,11315099,Jackets,,,,,00:00.9,2015/4/3 16:00,,2
Sheath Sweetheart Lace Little Party Dress,http://www.tbdress.com/product/Sheath-Sweetheart-Lace-Little-Party-Dress-11314650.html,http://s.tbdress.com/images/product/11/11314/11314650_1.jpg,http://s.tbdress.com/images/product/11/11314/11314650_1_m.jpg,320.97,106.99,106.99,,,,11314650,Party Dresses,,,,,00:02.2,1753-01-01 00:00:00,,1
Sheath Off-the-Shoulder Appliques Little Party Dress,http://www.tbdress.com/product/Sheath-Off-the-Shoulder-Appliques-Little-Party-Dress-11314649.html,http://s.tbdress.com/images/product/11/11314/11314649_1.jpg,http://s.tbdress.com/images/product/11/11314/11314649_1_m.jpg,375,94.99,91.29,,,,11314649,Party Dresses,,,,,00:01.4,2015/4/3 16:00,,2
Sheath Square Beadings Little Party Dress,http://www.tbdress.com/product/Sheath-Square-Beadings-Little-Party-Dress-11314646.html,http://s.tbdress.com/images/product/11/11314/11314646_1.jpg,http://s.tbdress.com/images/product/11/11314/11314646_1_m.jpg,385,123.99,120.09,,,,11314646,Party Dresses,,,,,00:01.4,2015/4/3 16:00,,2
traps Jacquard Sheath Little Party Dress,http://www.tbdress.com/product/Straps-Jacquard-Sheath-Little-Party-Dress-11314645.html,http://s.tbdress.com/images/product/11/11314/11314645_1.jpg,http://s.tbdress.com/images/product/11/11314/11314645_1_m.jpg,369,110.99,107.19,,,,11314645,Party Dresses,,,,,00:01.4,2015/4/3 16:00,,2
traps Jacquard Sheath Little Party Dress,http://www.tbdress.com/product/Straps-Jacquard-Sheath-Little-Party-Dress-11314645.html,http://s.tbdress.com/images/product/11/11314/11314645_1.jpg,http://s.tbdress.com/images/product/11/11314/11314645_1_m.jpg,369,110.99,107.19,,,,11312645,,,,,,00:01.4,2015/4/3 16:00,,2
